screen_id,route_path,route_name,page_widget,page_file,layout_pattern,vpc_files,vpc_owner_file,declared_tier,suggested_tier,tier_status,l1_status,l2_status,l3_status,notes
AppRouteNames.sc102ClientMoneyProtection,AppRoutePaths.tradeCopyClientMoneyProtection,AppRouteNames.sc102ClientMoneyProtection,ClientMoneyProtectionPage,flutter_app/lib/features/trade_compliance/presentation/pages/client_money/client_money_protection_page.dart,direct_vpc,features/trade_compliance/presentation/pages/client_money/client_money_protection_page.dart;features/trade_compliance/presentation/widgets/client_money/client_money_protection_page_common.dart;features/trade_compliance/presentation/widgets/client_money/client_money_protection_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/client_money/client_money_protection_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc411ClientOptUpRequest,AppRoutePaths.tradeCopyClientOptUpRequest,AppRouteNames.sc411ClientOptUpRequest,ClientOptUpRequestPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/client_categorization_opt_up_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/client_categorization_opt_up_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/client_categorization_opt_up_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc076ProviderComparison,AppRoutePaths.tradeCopyComparison,AppRouteNames.sc076ProviderComparison,ProviderComparisonPage,flutter_app/lib/features/trade_copy/presentation/pages/provider/provider_comparison_page.dart,shared_shell,features/trade_copy/presentation/pages/provider/provider_comparison_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/provider/provider_comparison_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc112ComplaintSubmission,AppRoutePaths.tradeCopyComplaintSubmission,AppRouteNames.sc112ComplaintSubmission,ComplaintSubmissionPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_submission_page.dart,shared_shell,features/trade_compliance/presentation/pages/complaints/complaint_submission_page.dart;features/trade_compliance/presentation/widgets/complaints/complaint_submission_page_common.dart;features/trade_compliance/presentation/widgets/complaints/complaint_submission_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/complaints/complaint_submission_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc113ComplaintTracking,AppRoutePaths.tradeCopyComplaintTrackingBase,AppRouteNames.sc113ComplaintTracking,ComplaintTrackingPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,shared_shell,features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/complaints/complaint_tracking_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc111ComplaintsHandling,AppRoutePaths.tradeCopyComplaintsHandling,AppRouteNames.sc111ComplaintsHandling,ComplaintsHandlingPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/complaints_handling_page.dart,direct_vpc,features/trade_compliance/presentation/pages/complaints/complaints_handling_page.dart;features/trade_compliance/presentation/widgets/complaints/complaints_handling_overview_complaints.dart;features/trade_compliance/presentation/widgets/complaints/complaints_handling_overview_header_tabs.dart;features/trade_compliance/presentation/widgets/complaints/complaints_handling_process_common.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/complaints/complaints_handling_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc082DisputeResolution,AppRoutePaths.tradeCopyDisputeResolution,AppRouteNames.sc082DisputeResolution,DisputeResolutionPage,flutter_app/lib/features/trade_copy/presentation/pages/safety/dispute_resolution_page.dart,direct_vpc,features/trade_copy/presentation/pages/safety/dispute_resolution_page.dart;features/trade_copy/presentation/widgets/safety/dispute_resolution_cases.dart;features/trade_copy/presentation/widgets/safety/dispute_resolution_common.dart;features/trade_copy/presentation/widgets/safety/dispute_resolution_form.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/safety/dispute_resolution_page.dart,form|standard,standard|form|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc065CopyEducation,AppRoutePaths.tradeCopyEducation,AppRouteNames.sc065CopyEducation,CopyEducationPage,flutter_app/lib/features/trade_copy/presentation/pages/safety/copy_education_page.dart,shared_shell,features/trade_copy/presentation/pages/safety/copy_education_page.dart;features/trade_copy/presentation/widgets/safety/copy_education_page_common.dart;features/trade_copy/presentation/widgets/safety/copy_education_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/safety/copy_education_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc105ExAnteCosts,AppRoutePaths.tradeCopyExAnteCosts,AppRouteNames.sc105ExAnteCosts,ExAnteCostsPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/ex_ante_costs_page.dart,shared_shell,features/trade_compliance/presentation/pages/disclosures/ex_ante_costs_page.dart;features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_common.dart;features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_overview.dart;features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_scenarios_actions.dart;features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_summary_breakdown.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/ex_ante_costs_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc107ExPostCostsReport,AppRoutePaths.tradeCopyExPostCostsReport,AppRouteNames.sc107ExPostCostsReport,ExPostCostsReportPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/ex_post_costs_report_page.dart,shared_shell,features/trade_compliance/presentation/pages/disclosures/ex_post_costs_report_page.dart;features/trade_compliance/presentation/widgets/disclosures/ex_post_costs_report_summary.dart;features/trade_compliance/presentation/widgets/disclosures/ex_post_costs_report_variance_common.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/ex_post_costs_report_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc097ExecutionVenueAnalysis,AppRoutePaths.tradeCopyExecutionVenueAnalysis,AppRouteNames.sc097ExecutionVenueAnalysis,ExecutionVenueAnalysisPage,flutter_app/lib/features/trade_compliance/presentation/pages/execution/execution_venue_analysis_page.dart,shared_shell,features/trade_compliance/presentation/pages/execution/execution_venue_analysis_page.dart;features/trade_compliance/presentation/widgets/execution/execution_venue_common.dart;features/trade_compliance/presentation/widgets/execution/execution_venue_comparison.dart;features/trade_compliance/presentation/widgets/execution/execution_venue_speed_trends.dart;features/trade_compliance/presentation/widgets/execution/execution_venue_summary.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/execution/execution_venue_analysis_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc104InvestorCompensation,AppRoutePaths.tradeCopyInvestorCompensation,AppRouteNames.sc104InvestorCompensation,InvestorCompensationPage,flutter_app/lib/features/trade_compliance/presentation/pages/client_money/investor_compensation_page.dart,direct_vpc,features/trade_compliance/presentation/pages/client_money/investor_compensation_page.dart;features/trade_compliance/presentation/widgets/client_money/investor_compensation_page_common.dart;features/trade_compliance/presentation/widgets/client_money/investor_compensation_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/client_money/investor_compensation_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc108KidGenerator,AppRoutePaths.tradeCopyKidGenerator,AppRouteNames.sc108KidGenerator,KIDGeneratorPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/kid_generator_page.dart,shared_shell,features/trade_compliance/presentation/pages/disclosures/kid_generator_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/kid_generator_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc079ProviderLeaderboard,AppRoutePaths.tradeCopyLeaderboard,AppRouteNames.sc079ProviderLeaderboard,ProviderLeaderboardPage,flutter_app/lib/features/trade_copy/presentation/pages/provider/provider_leaderboard_page.dart,shared_shell,features/trade_copy/presentation/pages/provider/provider_leaderboard_page.dart;features/trade_copy/presentation/widgets/provider/provider_leaderboard_cards.dart;features/trade_copy/presentation/widgets/provider/provider_leaderboard_controls.dart;features/trade_copy/presentation/widgets/provider/provider_leaderboard_disclaimer.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/provider/provider_leaderboard_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc068CopyNotifications,AppRoutePaths.tradeCopyNotifications,AppRouteNames.sc068CopyNotifications,CopyNotificationsPage,flutter_app/lib/features/trade_copy/presentation/pages/hub/copy_notifications_page.dart,shared_shell,features/trade_copy/presentation/pages/hub/copy_notifications_page.dart;features/trade_copy/presentation/widgets/hub/copy_notifications_page_common.dart;features/trade_copy/presentation/widgets/hub/copy_notifications_page_sections.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/hub/copy_notifications_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc114OmbudsmanReferral,AppRoutePaths.tradeCopyOmbudsmanReferral,AppRouteNames.sc114OmbudsmanReferral,OmbudsmanReferralPage,flutter_app/lib/features/trade_compliance/presentation/pages/complaints/ombudsman_referral_page.dart,shared_shell,features/trade_compliance/presentation/pages/complaints/ombudsman_referral_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/complaints/ombudsman_referral_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc109PerformanceScenarios,AppRoutePaths.tradeCopyPerformanceScenarios,AppRouteNames.sc109PerformanceScenarios,PerformanceScenariosPage,flutter_app/lib/features/trade_compliance/presentation/pages/disclosures/performance_scenarios_page.dart,shared_shell,features/trade_compliance/presentation/pages/disclosures/performance_scenarios_page.dart;features/trade_compliance/presentation/widgets/disclosures/performance_scenarios_intro_widgets.dart;features/trade_compliance/presentation/widgets/disclosures/performance_scenarios_outcome_widgets.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/disclosures/performance_scenarios_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc100ProductGovernance,AppRoutePaths.tradeCopyProductGovernance,AppRouteNames.sc100ProductGovernance,ProductGovernancePage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/product_governance_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/product_governance_page.dart;features/trade_compliance/presentation/widgets/governance/product_governance_overview_tabs.dart;features/trade_compliance/presentation/widgets/governance/product_governance_products.dart;features/trade_compliance/presentation/widgets/governance/product_governance_reviews_distribution.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/product_governance_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc069ProviderApplication,AppRoutePaths.tradeCopyProviderApply,AppRouteNames.sc069ProviderApplication,ProviderApplicationPage,flutter_app/lib/features/trade_copy/presentation/pages/provider/provider_application_page.dart,shared_shell,features/trade_copy/presentation/pages/provider/provider_application_page.dart;features/trade_copy/presentation/widgets/provider/provider_application_common.dart;features/trade_copy/presentation/widgets/provider/provider_application_progress_intro.dart;features/trade_copy/presentation/widgets/provider/provider_application_steps.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/provider/provider_application_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc081ProviderGovernance,AppRoutePaths.tradeCopyProviderGovernance,AppRouteNames.sc081ProviderGovernance,ProviderGovernancePage,flutter_app/lib/features/trade_copy/presentation/pages/provider/provider_governance_page.dart,direct_vpc,features/trade_copy/presentation/pages/provider/provider_governance_page.dart;features/trade_copy/presentation/widgets/provider/provider_governance_page_common.dart;features/trade_copy/presentation/widgets/provider/provider_governance_page_details.dart;features/trade_copy/presentation/widgets/provider/provider_governance_page_overview.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_copy/presentation/pages/provider/provider_governance_page.dart,standard,standard|compact,aligned,pass,pass,pass,compliant
