module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,178,arena_guide_page.dart,Áp dụng ngay - Tạo Challenge,context.go,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,191,arena_guide_page.dart,Áp dụng ngay - Tạo Challenge,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,201,arena_guide_page.dart,,context.go,AppRoutePaths.support,/support,SupportPage (/support),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,228,arena_guide_page.dart,,context.go,_mode == _GuideMode.create ? AppRoutePaths.arenaStudio : AppRoutePaths.arena,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,209,arena_report_case_page.dart,Xem tất cả báo cáo,context.go,AppRoutePaths.arenaMyReports,/arena/my-reports,MyArenaReportsPage (/arena/my-reports),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,252,arena_report_case_page.dart,,context.go,AppRoutePaths.arenaChallenge(challengeId),/arena/challenge/<challengeId>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,278,arena_report_case_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,275,arena_report_case_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_resolution_center_page.dart,60,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | Trung tâm chốt kết quả thử thách trong Open Arena,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_resolution_center_page.dart,57,arena_resolution_center_page.dart,Chốt kết quả | Resolution · Open Arena | Trung tâm chốt kết quả thử thách trong Open Arena,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_safety_center_page.dart,195,arena_safety_center_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
