name,file_count,files
"_DetailRow",7,"lib/features/arena/presentation/widgets/points/arena_points_entry_detail_page_sections.dart; lib/features/launchpad/presentation/widgets/bridge/launchpad_bridge_order_details.dart; lib/features/launchpad/presentation/widgets/claim/launchpad_claim_receipt_misc_widgets.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_multisig_tx_details.dart; lib/features/trade_compliance/presentation/widgets/client_money/arm_integration_providers.dart; lib/features/trade_copy/presentation/widgets/provider/trader_profile_overview.dart; lib/features/wallet/presentation/tablet/pages/deposit_tablet_page.dart"
"_DetailStat",3,"lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart; lib/features/admin/presentation/widgets/funnel_dashboard_waterfall_details.dart; lib/features/trade_copy/presentation/widgets/hub/active_copies_expanded_details.dart"
"_DetailValue",3,"lib/features/p2p_security/presentation/widgets/security/p2p_device_management_cards.dart; lib/features/p2p_security/presentation/widgets/security/p2p_login_history_common.dart; lib/features/trade_compliance/presentation/widgets/governance/transaction_reporting_reports.dart"
"_Disclaimer",5,"lib/features/earn_savings/presentation/widgets/savings/savings_notifications_common.dart; lib/features/markets/presentation/widgets/research/token_info_detail_widgets.dart; lib/features/referral/presentation/widgets/referral_rules_page_common.dart; lib/features/trade_copy/presentation/widgets/hub/copy_trading_metrics_common.dart; lib/features/trade_copy/presentation/widgets/provider/provider_leaderboard_disclaimer.dart"
"_DisclaimerCard",4,"lib/features/arena/presentation/widgets/governance/arena_report_case_related_common.dart; lib/features/dca/presentation/widgets/portfolio/dca_portfolio_optimizer_stat_widgets.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_analytics_page_ai_signals.dart; lib/features/wallet/presentation/widgets/tools/network_status_legend_common.dart"
"_DisclosureCard",5,"lib/features/discovery/presentation/widgets/topic_hub_cards.dart; lib/features/p2p_dispute/presentation/widgets/dispute/p2p_insurance_certificate_page_common.dart; lib/features/p2p_dispute/presentation/widgets/dispute/p2p_insurance_score_page_common.dart; lib/features/predictions/presentation/widgets/event/prediction_order_receipt_page_sections.dart; lib/features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_cards.dart"
"_DistributionCard",3,"lib/features/admin/presentation/widgets/analytics_dashboard_common.dart; lib/features/cross_module/presentation/widgets/unified_portfolio_overview.dart; lib/features/markets/presentation/widgets/research/token_info_market_widgets.dart"
"_EmptyResults",3,"lib/features/earn_savings/presentation/widgets/savings/savings_faq_page_common.dart; lib/features/earn_savings/presentation/widgets/savings/savings_what_if_results.dart; lib/features/earn_staking/presentation/pages/staking/staking_faq_page.dart"
"_EventCard",3,"lib/features/earn_staking/presentation/widgets/staking/staking_earnings_events_common.dart; lib/features/markets/presentation/widgets/tools/market_calendar_events.dart; lib/features/trade_bots/presentation/widgets/dashboard/bot_drawdown_analyzer_page_sections.dart"
"_EventMetric",3,"lib/features/earn_staking/presentation/widgets/staking/staking_slashing_history_history.dart; lib/features/predictions/presentation/widgets/social/prediction_event_calendar_notifications.dart; lib/features/trade_compliance/presentation/widgets/execution/slippage_monitoring_events.dart"
"_FeatureCard",5,"lib/features/earn_savings/presentation/widgets/hub/earn_comparison_chart.dart; lib/features/earn_staking/presentation/widgets/staking/staking_institutional_signers_features.dart; lib/features/trade/presentation/widgets/margin/margin_trading_hub_cards.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_tools_overview.dart; lib/features/trade_terminal/presentation/widgets/tools/risk_management_overview.dart"
"_FeedbackBanner",4,"lib/features/p2p_dispute/presentation/pages/dispute/p2p_claim_detail_page_common.dart; lib/features/p2p_dispute/presentation/widgets/dispute/p2p_insurance_certificate_page_common.dart; lib/features/p2p_orders/presentation/widgets/orders/p2p_escrow_detail_timeline_actions.dart; lib/features/p2p_security/presentation/pages/security/p2p_contribution_history_page.dart"
"_FieldGroup",4,"lib/features/earn_staking/presentation/widgets/staking/staking_advanced_orders_sheet_fields.dart; lib/features/earn_staking/presentation/widgets/staking/staking_institutional_sheet_painter.dart; lib/features/earn_staking/presentation/widgets/staking/staking_insurance_sheets.dart; lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_swap_fields.dart"
"_FieldLabel",3,"lib/features/earn_staking/presentation/widgets/staking/staking_risk_score_inputs.dart; lib/features/trade_compliance/presentation/widgets/complaints/complaint_submission_page_common.dart; lib/features/trade_copy/presentation/widgets/safety/dispute_resolution_common.dart"
"_FilterRow",3,"lib/features/earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_abi_diff_summary.dart; lib/features/trade/presentation/widgets/hub/orders_history_page_sections.dart"
