cluster,file,suggested_tier,violation_type,status,batch,notes
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_social_comment_list.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_social_header_comments.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_tournaments_detail.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_tournaments_empty_leaderboard.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_tournaments_list.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/prediction_tournaments_stats.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/predictions_global_activity_widgets.dart,D,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/predictions_leaderboard_podium_rankings.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/predictions/presentation/widgets/social/predictions_leaderboard_rows_wins.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/phone/pages/hub/orders_history_page.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/phone/pages/hub/position_dashboard_page.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/phone/pages/hub/trade_history_export_page.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/phone/pages/hub/trade_settings_page.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/phone/pages/margin/margin_trading_page.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/tablet/pages/trade_tablet_utility_page.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/convert/convert_page_amount_widgets.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/convert/convert_page_sections.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/convert/convert_page_widgets.dart,D,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/futures/futures_page_state.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/futures/leverage_header_hero_risk.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/futures/leverage_impact_confirm.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_hub_cards.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_hub_hero_nav.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_hub_widgets.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_shared_helpers.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/margin/margin_trading_simple_form.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/order_receipt_page_common.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/order_receipt_page_sections.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/orders_history_page_sections.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/position_dashboard_page_common.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/position_dashboard_page_sections.dart,E,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/trade_history_export_footer.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/trade_history_export_selectors_includes.dart,D,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/trade_history_export_summary_sections.dart,C,-,done,0,-
04_financial,flutter_app/lib/features/trade/presentation/widgets/phone/trade_settings_page_common.dart,C,-,done,0,-
