file,line,owner,sourceWidget,classification,mode,fallback,highRisk,issue,notes
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_social_feed_page.dart","68","_StakingSocialFeedPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earn","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_social_feed_page.dart","94","_StakingSocialFeedPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_suitability_assessment_page.dart","102","_StakingSuitabilityAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_suitability_assessment_page.dart","111","_StakingSuitabilityAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_suitability_assessment_page.dart","128","_StakingSuitabilityAssessmentPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_tax_guide_page.dart","70","_StakingTaxGuidePageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_tax_guide_page.dart","79","_StakingTaxGuidePageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_tax_guide_page.dart","102","_StakingTaxGuidePageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_terms_page.dart","59","_StakingTermsPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_terms_page.dart","68","_StakingTermsPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_terms_page.dart","90","_StakingTermsPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_third_party_integrations_page.dart","63","_StakingThirdPartyIntegrationsPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_third_party_integrations_page.dart","72","_StakingThirdPartyIntegrationsPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_third_party_integrations_page.dart","99","_StakingThirdPartyIntegrationsPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_transaction_reporting_page.dart","92","_StakingTransactionReportingPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_transaction_reporting_page.dart","101","_StakingTransactionReportingPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_transaction_reporting_page.dart","126","_StakingTransactionReportingPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_health_monitor_page.dart","61","_StakingValidatorHealthMonitorPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_health_monitor_page.dart","70","_StakingValidatorHealthMonitorPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_health_monitor_page.dart","93","_StakingValidatorHealthMonitorPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_selection_page.dart","76","_StakingValidatorSelectionPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_selection_page.dart","85","_StakingValidatorSelectionPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_validator_selection_page.dart","109","_StakingValidatorSelectionPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart","65","_StakingVotingPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnProposals","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart","74","_StakingVotingPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnProposals","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_voting_page.dart","91","_StakingVotingPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_webhooks_page.dart","54","StakingWebhooksPage","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earn","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_webhooks_page.dart","63","StakingWebhooksPage","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earn","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_webhooks_page.dart","85","StakingWebhooksPage","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_withdrawal_policy_page.dart","104","_StakingWithdrawalPolicyPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_withdrawal_policy_page.dart","113","_StakingWithdrawalPolicyPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.earnStaking","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_withdrawal_policy_page.dart","137","_StakingWithdrawalPolicyPageState","VitTopChrome","parent_route_only","parent_route_only","snapshot.backRoute","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart","72","_EnterpriseStatesPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.home","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart","82","_EnterpriseStatesPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.home","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart","97","_EnterpriseStatesPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_compare_page.dart","91","_LaunchpadBridgeComparePageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_compare_page.dart","106","_LaunchpadBridgeComparePageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_compare_page.dart","139","_LaunchpadBridgeComparePageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_order_page.dart","81","_LaunchpadBridgeOrderPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadIdoBridgeSample","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_order_page.dart","99","_LaunchpadBridgeOrderPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadIdoBridgeSample","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_bridge_order_page.dart","124","_LaunchpadBridgeOrderPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_ido_bridge_page.dart","61","LaunchpadIdoBridgePage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_ido_bridge_page.dart","80","LaunchpadIdoBridgePage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_ido_bridge_page.dart","105","LaunchpadIdoBridgePage","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_swap_aggregator_page.dart","116","_LaunchpadSwapAggregatorPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_swap_aggregator_page.dart","131","_LaunchpadSwapAggregatorPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/bridge/launchpad_swap_aggregator_page.dart","164","_LaunchpadSwapAggregatorPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_batch_claim_page.dart","83","_LaunchpadBatchClaimPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadStaking","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_batch_claim_page.dart","98","_LaunchpadBatchClaimPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadStaking","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_batch_claim_page.dart","134","_LaunchpadBatchClaimPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","yes","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_claim_receipt_page.dart","96","_LaunchpadClaimReceiptPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadStaking","yes","-","Uses shared back-navigation helper."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_claim_receipt_page.dart","117","_LaunchpadClaimReceiptPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpadStaking","yes","-","Uses shared back-navigation helper."
"flutter_app/lib/features/launchpad/presentation/pages/claim/launchpad_claim_receipt_page.dart","149","_LaunchpadClaimReceiptPageState","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","yes","-","Uses shared back-navigation helper."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_contract_page.dart","61","LaunchpadContractPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_contract_page.dart","80","LaunchpadContractPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_contract_page.dart","105","LaunchpadContractPage","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_detail_page.dart","61","LaunchpadDetailPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_detail_page.dart","80","LaunchpadDetailPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.launchpad","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_detail_page.dart","105","LaunchpadDetailPage","VitHeader","parent_route_only","parent_route_only","snapshot.backRoute","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/launchpad/presentation/pages/hub/launchpad_page.dart","94","_LaunchpadPageState","VitTopChrome","parent_route_only","parent_route_only","AppRoutePaths.home","no","-","Back goes to an explicit parent route."
